VIN,date ,Odometer Reading
1C4RJFDJ9FC,2014-11-12,40
1C4RJFDJ9FC,2015-05-21,10206
1C4RJFDJ9FC,2016-07-18,24250
1C4RJFDJ9FC,2016-07-25,24260
1C4RJFDJ9FC,2017-02-01,22988
1C4RJFDJ9FC,2017-03-15,22989
1C4RJFDJ9FC,2017-03-24,22999
1C4RJFDJ9FC,2017-08-22,23906
1C4RJFDJ9FC,2017-11-20,24020
1C4RJFDJ9FC,2018-07-31,29340
JF1SF635XWG,1998-05-21,66
JF1SF635XWG,2000-10-16,34920
JF1SF635XWG,2000-12-27,40230
JF1SF635XWG,2001-01-15,40471
JF1SF635XWG,2001-05-07,41770
JF1SF635XWG,2002-10-15,52697
JF1SF635XWG,2002-10-27,53150
JF1SF635XWG,2003-02-18,55196
JF1SF635XWG,2003-10-09,59380
JF1SF635XWG,2004-04-22,63296
JF1SF635XWG,2004-10-15,69140
JF1SF635XWG,2006-10-25,87323
JF1SF635XWG,2007-06-01,95150
JF1SF635XWG,2007-06-15,95983
JF1SF635XWG,2007-06-22,96307
JF1SF635XWG,2007-10-02,101543
JF1SF635XWG,2007-12-11,105689
JF1SF635XWG,2008-06-04,114274
JF1SF635XWG,2008-06-26,115066
JF1SF635XWG,2008-07-25,117322
JF1SF635XWG,2008-11-04,122543
JF1SF635XWG,2008-12-04,123020
JF1SF635XWG,2009-02-13,125198
JF1SF635XWG,2009-05-19,128985
JF1SF635XWG,2009-06-05,129877
JF1SF635XWG,2009-08-14,132529
JF1SF635XWG,2009-10-23,136335
JF1SF635XWG,2009-11-05,136675
JF1SF635XWG,2009-12-03,138005
JF1SF635XWG,2010-01-12,140022
JF1SF635XWG,2011-11-01,166105
JF1SF635XWG,2012-05-16,171965
JF1SF635XWG,2014-04-09,187801
JF1SF635XWG,2014-08-13,193438
JF1SF635XWG,2014-10-14,22911
JF1SF635XWG,2015-01-12,24459
JF1SF635XWG,2015-01-28,24806
JF1SF635XWG,2015-04-29,26813
JF1SF635XWG,2015-10-08,30668
JF1SF635XWG,2016-03-22,33843
JF1SF635XWG,2016-04-26,34544
JF1SF635XWG,2016-05-19,35061
JF1SF635XWG,2016-06-10,35435
JF1SF635XWG,2016-08-19,37853
JF1SF635XWG,2016-12-13,40247
JF1SF635XWG,2017-03-13,41700
JF1SF635XWG,2017-06-19,43543
JF1SF635XWG,2017-07-07,44238
JF1SF635XWG,2017-07-26,44350
JF1SF635XWG,2017-11-01,47225
JF1SF635XWG,2018-01-19,48699
JF1SF635XWG,2018-05-15,51024
JF1SF635XWG,2018-08-16,53408
5FPYK1F45BB,2010-12-23,4
5FPYK1F45BB,2010-12-31,10
5FPYK1F45BB,2011-01-04,47
5FPYK1F45BB,2012-01-30,12550
5FPYK1F45BB,2013-01-24,23591
5FPYK1F45BB,2014-01-07,24416
5FPYK1F45BB,2014-01-20,32961
5FPYK1F45BB,2014-06-08,36415
5FPYK1F45BB,2014-06-10,36416
5FPYK1F45BB,2015-07-01,54689
5FPYK1F45BB,2015-10-11,58857
5FPYK1F45BB,2015-10-19,58861
5FPYK1F45BB,2015-10-22,58901
5FPYK1F45BB,2015-10-29,67519
5FPYK1F45BB,2015-12-12,67521
5FPYK1F45BB,2016-01-02,58995
5FPYK1F45BB,2017-03-23,59736
5FPYK1F45BB,2017-06-30,62500
5FPYK1F45BB,2018-01-25,72367
5FPYK1F45BB,2018-02-27,73686
5FPYK1F45BB,2018-07-18,80637
5FPYK1F45BB,2018-09-12,84017
